Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Distance,Duration,Timestamp_Scraped
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,SEMILEITO PREMIUM,"R$308,51",,581 km,10:32,2025-07-23 22:42:18
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,CAMA,"R$518,29",,581 km,10:32,2025-07-23 22:42:19
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,CAMA,"R$518,29",,581 km,10:32,2025-07-23 22:42:19
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,SEMILEITO PREMIUM,"R$308,51",,581 km,10:32,2025-07-23 22:42:19
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,CAMA,"R$488,29",,581 km,10:32,2025-07-23 22:42:19
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),23/07/2025,SEMILEITO PREMIUM,"R$308,51",,581 km,10:32,2025-07-23 22:42:20
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$398,44",,487 km,09:36,2025-07-23 22:42:20
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$303,51",,487 km,09:36,2025-07-23 22:42:20
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$303,51",,487 km,09:36,2025-07-23 22:42:20
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$388,49",,487 km,09:36,2025-07-23 22:42:21
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CONV. DD,"R$283,61",,487 km,09:36,2025-07-23 22:42:21
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$438,24",,487 km,09:36,2025-07-23 22:42:21
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CONV. DD,"R$283,61",,487 km,09:36,2025-07-23 22:42:21
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$388,49",,487 km,09:36,2025-07-23 22:42:22
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,EXECUTIVO,"R$283,61",,487 km,09:36,2025-07-23 22:42:22
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,487 km,09:36,2025-07-23 22:42:22
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$528,23",,487 km,09:36,2025-07-23 22:42:22
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$488,29",,487 km,09:36,2025-07-23 22:42:23
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,487 km,09:36,2025-07-23 22:42:23
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,487 km,09:36,2025-07-23 22:42:23
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$488,29",,487 km,09:36,2025-07-23 22:42:23
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$518,29",,487 km,09:36,2025-07-23 22:42:23
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,487 km,09:36,2025-07-23 22:42:24
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$303,51",,487 km,09:36,2025-07-23 22:42:24
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$488,29",,487 km,09:36,2025-07-23 22:42:24
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,"R$488,29",,487 km,09:36,2025-07-23 22:42:25
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,487 km,09:36,2025-07-23 22:42:25
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$398,44",,487 km,09:36,2025-07-23 22:42:25
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$303,51",,487 km,09:36,2025-07-23 22:42:25
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$438,24",,487 km,09:36,2025-07-23 22:42:25
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$303,51",,487 km,09:36,2025-07-23 22:42:26
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$293,51",,487 km,09:36,2025-07-23 22:42:26
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$388,49",,487 km,09:36,2025-07-23 22:42:27
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$388,49",,487 km,09:36,2025-07-23 22:42:27
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$308,59",,487 km,09:36,2025-07-23 22:42:27
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,EXECUTIVO,"R$298,69",,487 km,09:36,2025-07-23 22:42:27
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$528,23",,487 km,09:36,2025-07-23 22:42:28
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$408,51",,487 km,09:36,2025-07-23 22:42:28
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CONVENCIONAL,"R$443,31",,487 km,09:36,2025-07-23 22:42:28
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,EXECUTIVO,"R$298,69",,487 km,09:36,2025-07-23 22:42:28
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$518,29",,487 km,09:36,2025-07-23 22:42:28
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$408,51",,487 km,09:36,2025-07-23 22:42:29
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,487 km,09:36,2025-07-23 22:42:29
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$378,51",,487 km,09:36,2025-07-23 22:42:29
