Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Timestamp_Scraped
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,R$,,2025-07-24 19:44:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$353,44",,2025-07-24 19:44:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$353,44",,2025-07-24 19:44:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,R$,,2025-07-24 19:44:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,R$,,2025-07-24 19:44:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$338,51",,2025-07-24 19:44:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,R$,,2025-07-24 19:44:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-24 19:44:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,2025-07-24 19:44:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,R$,,2025-07-24 19:44:54
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$478,19",,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$303,51",,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$438,24",,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$313,51",,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$293,51",,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$468,24",,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$388,49",,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$308,59",,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,EXECUTIVO,"R$298,69",,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$408,51",,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CONVENCIONAL,R$,,2025-07-24 19:45:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,EXECUTIVO,"R$353,61",,2025-07-24 19:45:04
