Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Distance,Duration,Timestamp_Scraped
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,R$,,487 km,09:36,2025-07-24 19:49:01
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$353,44",,487 km,09:36,2025-07-24 19:49:01
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$353,44",,487 km,09:36,2025-07-24 19:49:01
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,R$,,487 km,09:36,2025-07-24 19:49:02
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,R$,,487 km,09:36,2025-07-24 19:49:02
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$338,51",,487 km,09:36,2025-07-24 19:49:02
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,R$,,487 km,09:36,2025-07-24 19:49:02
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,487 km,09:36,2025-07-24 19:49:02
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,SEMILEITO PREMIUM,"R$308,51",,487 km,09:36,2025-07-24 19:49:03
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),24/07/2025,CAMA,R$,,487 km,09:36,2025-07-24 19:49:03
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$478,19",,487 km,09:36,2025-07-24 19:49:03
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$303,51",,487 km,09:36,2025-07-24 19:49:03
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$438,24",,487 km,09:36,2025-07-24 19:49:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$313,51",,487 km,09:36,2025-07-24 19:49:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$293,51",,487 km,09:36,2025-07-24 19:49:04
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$468,24",,487 km,09:36,2025-07-24 19:49:05
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$388,49",,487 km,09:36,2025-07-24 19:49:05
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$308,59",,487 km,09:36,2025-07-24 19:49:05
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,EXECUTIVO,"R$298,69",,487 km,09:36,2025-07-24 19:49:06
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,487 km,09:36,2025-07-24 19:49:06
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$408,51",,487 km,09:36,2025-07-24 19:49:06
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CONVENCIONAL,R$,,487 km,09:36,2025-07-24 19:49:07
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,EXECUTIVO,"R$353,61",,487 km,09:36,2025-07-24 19:49:07
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$518,29",,487 km,09:36,2025-07-24 19:49:07
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$408,51",,487 km,09:36,2025-07-24 19:49:07
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,487 km,09:36,2025-07-24 19:49:07
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$378,51",,487 km,09:36,2025-07-24 19:49:08
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,487 km,09:36,2025-07-24 19:49:08
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$408,51",,487 km,09:36,2025-07-24 19:49:08
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,SEMILEITO PREMIUM,"R$373,51",,487 km,09:36,2025-07-24 19:49:09
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$518,29",,487 km,09:36,2025-07-24 19:49:09
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,SEMILEITO PREMIUM,"R$293,51",,487 km,09:36,2025-07-24 19:49:09
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$448,19",,487 km,09:36,2025-07-24 19:49:09
Belo Horizonte - Terminal Rodoviário (MG),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$438,24",,487 km,09:36,2025-07-24 19:49:10
